Time Detect LP,Time Detect Face,Total
0.092708349227905,2.52448511123657,
0.096565246582031,2.56362676620483,
0.090667247772217,2.55726170539856,
0.090710878372192,2.51719737052917,
0.09349799156189,2.5718514919281,
0.091606855392456,2.55243730545044,
0.098062038421631,2.54504489898682,
0.09125566482544,2.53376650810242,
0.098091125488281,2.58593392372131,
0.091154336929321,2.55500316619873,
0.094751358032227,2.52442622184753,
0.090925693511963,2.53218841552734,
0.092496871948242,2.52625441551208,
0.091302394866943,2.54015803337097,
0.096755266189575,2.50758385658264,
0.092970848083496,2.54496908187866,
0.0921790599823,2.51746940612793,
0.091384887695313,2.53447270393372,
0.092156171798706,2.52065777778625,
0.091016292572022,2.53022789955139,
0.092078685760498,2.52640461921692,
0.091316938400269,2.52859807014465,
0.090728044509888,2.50961565971375,
0.099462509155274,2.5343165397644,
0.097872972488403,2.53489685058594,
0.092178344726563,2.48903107643127,
0.092328548431397,2.49008417129517,
0.09182596206665,2.4948251247406,
0.098841190338135,2.5400128364563,
0.092228651046753,2.49215221405029,
0.091490030288696,2.49163699150085,
0.098498582839966,2.54543972015381,
0.089505434036255,2.52422666549683,
0.0925133228302,2.51386189460754,
0.093575477600098,2.54012250900269,
0.089975357055664,2.49764060974121,
0.098231792449951,2.50930452346802,
0.098619222640991,2.54678797721863,
0.094344854354858,2.55361008644104,
0.091471433639526,2.55571103096008,
0.094534635543823,2.52300715446472,
0.092532396316528,2.50630831718445,
0.094167470932007,2.52207064628601,
0.091627359390259,2.51120162010193,
0.099476099014282,2.56328368186951,
0.092408657073975,2.52035975456238,
0.092638731002808,2.51539444923401,
0.093684434890747,2.68693876266479,
0.090485334396362,2.53106498718262,
0.091206550598145,2.56171274185181,
0.098336935043335,2.55553460121155,
0.089600324630737,2.54225850105286,
0.093990564346314,2.53641295433044,
0.092914581298828,2.53190946578979,
0.099499702453613,2.55722212791443,
0.094326496124268,2.52635908126831,
0.098366260528565,2.5347466468811,
0.09979772567749,2.56435942649841,
0.092857122421265,2.52001428604126,
0.099741458892822,2.56989765167236,
0.095399379730225,2.52482461929321,
0.091409683227539,2.50209498405457,
0.093123912811279,2.54370379447937,
0.092020988464356,2.50982904434204,
0.0977783203125,2.49508094787598,
0.097845792770386,2.50494527816772,
0.097309112548828,2.51432728767395,
0.094157934188843,2.49149966239929,
0.092185497283936,2.48551511764526,
0.096926927566528,2.53733515739441,
0.091886281967163,2.5235378742218,
0.09345555305481,2.52971172332764,
0.092162132263184,2.52824139595032,
0.098687410354614,2.5722815990448,
0.093640089035034,2.52325797080994,
0.093242883682251,2.52214574813843,
0.092457056045532,2.5439019203186,
0.097332715988159,2.57027173042297,
0.092012882232666,2.54296565055847,
0.098564386367798,2.52298641204834,
0.097413539886475,2.56024789810181,
0.09078574180603,2.51929497718811,
0.097866058349609,2.55464267730713,
